,juv.shark,adu.shark,juv.r.drum,adu.r.drum,juv.seatrout,adu.seatrout,juv.b.drum,adu.b.drum,juv.catfish,adu.catfish,juv.croaker.spot.perch,adu.croaker.spot.perch,juv.sheepshead,adu.sheepshead,juv.flounder,adu.flounder,juv.pinfish,adu.pinfish,juv.menhaden,adu.menhaden,juv.mullet,adu.mullet,anchovy.silverside,gar,stingray,diving birds,pelicans,marsh.birds,dolphins,killifishes,juv.panaeids,adu.panaeids,juv.blue.crab,adu.blue.crab,carn.insects,grass.shrimp,other.crabs,herb.insects,zooplankton,oyster spat,seed oyster,sack oyster,oyster drill,mollusks,benthic.inverts,marsh.plants,SAV,benthic.microalgae,phytoplankton
juv.shark,0,0.252594755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.shark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.r.drum,0.120845095,0.033369062,0,0.021097038,0,0.113071446,0,0,0,0,0,0.001815663,0,0.069718934,0,0,0,0,0,0,0,0,0,0,0.005130397,0.019908421,0.005079983,0,0.008547862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.r.drum,0,0.005057358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.seatrout,1.01E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896537,0.049633685,0.01,0,0.001067018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.seatrout,1.01E-05,1.02E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017678256,0,0.03,0.075659317,0,0.00198964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.b.drum,0.08056337,0.008089469,0,0.011603377,0,0.001116888,0,0,0,0,0,0.000907831,0,0.04041677,0,0,0,0,0,0,0,0,0,0,0.005130397,0.009954211,0.015079983,0,0.008413023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.b.drum,0,0.000101128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juv.catfish,0.005035054,0.001011472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011785504,0.005130397,0.000497711,0,0,0.007849287,0,0,0,0,0.0001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu.catfish,0.010070106,0.03034415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116069534,0,0,0.005079983,0,0.028492871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
