,Stanza,Type,Biomass,Z,PB,QB,Unassimilated consumption,Detritus Import,Landings,Discards,Stanza_start,Stanza_end,is_lead,
juvenile sharks,sharks,0,0.08443,2,2,17.96062,0.2,0,0,0.0004,0,113,T,
adult sharks,sharks,0,6.87E-07,0.51,0.51,3.900001,0.2,0,0,1.00E-07,114,1000,F,
dolphins,,0,0.00229,,0.099,30,0.2,0,0,0,,,,
Kemp Ridley sea turtle,,0,0.007,,0.19,3.5,0.2,0,0,0.0003,,,,
sea birds,,0,0.007468,,1,17.737,0.2,0,0,0,,,,
juvenile red drum,red drum,0,0.2,2.2,2.2,4.499943,0.2,0,0.0005,0,0,53,T,
adult red drum,red drum,0,0.001486052,0.62,0.62,1.860065,0.2,0,0,0,54,1000,F,
juvenile black drum,black drum,0,0.1087879,2,2,22.64384,0.2,0,0.033,0,0,65,T,
adult black drum,black drum,0,0.001168247,0.5,0.5,6.358997,0.2,0,0.00016,0,66,1000,F,
juvenile sand seatrout,sand seatrout,0,0.000100752,3.7,3.7,38.61456,0.2,0,0,0,0,7,F,
adult sand seatrout,sand seatrout,0,0.0225455,0.7,0.7,5.399997,0.2,0,0,0.002,8,1000,T,
juvenile spotted seatrout,sstrout,0,5.94E-05,3.7,3.7,29.10022,0.2,0,0,0,0,11,T,
adult spotted seatrout,sstrout,0,0.002157344,0.7,0.7,5.399995,0.2,0,0.0002,0,12,1000,F,
juvenile largemouth bass,LMB,0,0.002847755,2,2,9.299422,0.2,0,0,0,0,11,F,
adult largemouth bass,LMB,0,0.0927,0.6,0.6,2.813999,0.2,0,0.025,0,12,1000,T,
juvenile gulf sturgeon,sturgeon,0,0.00181,2,2,15.0761,0.2,0,0,0,0,71,T,
adult gulf sturgeon,sturgeon,0,0.000176849,0.15,0.15,2.099972,0.2,0,0,0,72,1000,F,
juvenile blue catfish,blue catfish,0,0.0365657,2,2,10.61452,0.2,0,0.024,0,0,53,T,
adult blue catfish,blue catfish,0,0.001357668,0.8,0.8,3.299996,0.2,0,0.0004,0,54,1000,F,
juvenile sea catfish,sea catfish,0,0.01751512,2,2,10.80031,0.2,0,0,0,0,17,F,
adult sea catfish,sea catfish,0,0.1558824,0.8,0.8,3.3,0.2,0,0,0.02,18,1000,T,
juvenile grey snapper,grey snapper,0,0.0235,3,3,8.524549,0.2,0,0,0,0,47,T,
adult grey snapper,grey snapper,0,0.000205988,0.6,0.6,2.000001,0.2,0,0.0001,0,48,1000,F,
juvenile croaker,croaker,0,0.1894454,2,2,20.03493,0.2,0,0,0,0,11,T,
adult Atlantic croaker,croaker,0,1.158043,1.5,1.5,8.0227,0.2,0,0,0.02,12,1000,F,
juvenile sheepshead,sheepshead,0,0.07633156,2,2,14.64826,0.2,0,0.001,0,0,35,F,
adult sheepshead,sheepshead,0,0.0395024,0.417,0.417,5.900002,0.2,0,0.015,0,36,1000,T,
juvenile southern flounder,flounder,0,0.00647,2,2,13.30749,0.2,0,0,0.0002,0,35,T,
adult southern flounder,flounder,0,0.005875555,0.417,0.417,4.500043,0.2,0,0.001,0.0008,36,1000,F,
juvenile spot,spot,0,0.1188617,2,2,15.03618,0.2,0,0,0,0,23,F,
adult spot,spot,0,0.0935294,1.1,1.1,7.2,0.2,0,0,0.002,24,1000,T,
juvenile pinfish,pinfish,0,0.000944239,1.019,1.019,19.18619,0.2,0,0,0,0,27,F,
adult pinfish,pinfish,0,0.0088647,0.3,0.3,8,0.2,0,0,0.002,28,1000,T,
juvenile silver perch,silver perch,0,0.0217737,3.7,3.7,17.31218,0.2,0,0,0,0,11,T,
adult silver perch,silver perch,0,0.02430054,1.4,1.4,9.000001,0.2,0,0,0,12,1000,F,
juvenile menhaden,,0,0.1383409,,2.3,19.37545,0.2,0,0,0.0001,,,,
adult gulf menhaden,,0,0.5239862,,1.9,8.099995,0.2,0,0.68,0,,,,
juvenile striped mullet,mullet,0,0.3795601,2.4,2.4,32.96947,0.2,0,0,0.002,0,17,F,
adult striped mullet,mullet,0,1.442727,0.8,0.8,12.28,0.2,0,0,0,18,1000,T,
juvenile threadfin shad,threadfin shad,0,0.05496152,3,3,17.79001,0.2,0,0,0,0,18,F,
adult threadfin shad,threadfin shad,0,0.018,2.53,2.53,8.2,0.2,0,0,0,19,1000,T,
juvenile gizzard shad,gizzard shad,0,0.001149612,3,3,,0.2,0,0,0,0,18,F,
adult gizzard shad,gizzard shad,0,0.0003765,2.53,2.53,8.2,0.2,0,0,0,19,1000,T,
juvenile sunfishes,sunfish,0,0.0003924,2,2,16.45644,0.2,0,0,0,0,11,T,wrong
adult sunfishes,sunfish,0,0.00933102,0.8,0.8,4.966005,0.2,0,0,0,12,1000,F,
juvenile bay anchovy,anchovy,0,0.131629,3,3,39.77924,0.2,0,0,0,0,11,F,
adult bay anchovy,anchovy,0,0.1721467,2.53,2.53,19.4,0.2,0,0,0.002,12,1000,T,
killifishes,,0,0.1076714,,2.53,19.4,0.2,0,0,0,,,,
silversides,,0,0.6481439,,2.3,19.4,0.2,0,0,0,,,,
juvenile blue crab,blue crab,0,0.4434834,3,3,17.03654,0.2,0,0,0.002,0,11,T,
adult blue crab,blue crab,0,0.5632566,2.4,2.4,8.500006,0.2,0,0.601,0,12,1000,F,
juvenile brown shrimp,brown shrimp,0,0.141863,4.885,4.885,66.65059,0.2,0,0,0,0,2,T,
adult brown shrimp,brown shrimp,0,8.929168,2.4,2.4,18.87332,0.2,0,0.83,0,3,1000,F,
juvenile white shrimp,white shrimp,0,0.0632133,4.885,4.885,66.65058,0.2,0,0,0,0,2,T,
adult white shrimp,white shrimp,0,3.978784,2.4,2.4,18.87332,0.2,0,0.495,0,3,1000,F,
other shrimp,,0,0.0101,,7.757,26.7,0.2,0,0,0,,,,
oyster spat,oysters,0,0.03557456,2,2,40.00537,0.2,0,0,0,0,3,F,
seed oyster,oysters,0,1.200614,1.8,1.8,14.65063,0.2,0,0,0,4,15,F,
sack oyster,oysters,0,0.685,2.4,2.4,10,0.2,0,0.3,0,16,1000,T,
oyster drill,,0,1.5,,4.5,18,0.2,0,0,0.01,,,,
grass shrimp,,0,0.446431,,4.5,18,0.2,0,0,0,,,,
mud crabs,,0,1,,4.5,18,0.2,0,0,0,,,,
Zoobenthos,,0,3,,4.5,22,0.2,0,0,0,,,,
benthic crustaceans,,0,3,,4.5,22,0.2,0,0,0,,,,
mollusks,,0,4.033359,,4.5,22,0.2,0,0,0,,,,
Zooplankton,,0,4.124,,28.772,84.87,0.2,0,0,0,,,,
Phytoplankton,,1,12.8381,,101.702,,,0,0,0,,,,
Benthic algae,,1,29.778,,3.909,,,0,0,0,,,,
SAV,,1,9.778,,9.014,,,0,0,0,,,,
Detritus,,2,100,,,,,0,0,0,,,,
Fishery,,3,,,,,,,,,,,,
