CWC ID Number,Laboratory,d13C,%C,d15N,%N,C:N,d34S,%S,,
CWC0001,University of Windsor,-16.53,37.95,7.60,11.24,3.38,not measured,not measured,,
CWC0002,University of Windsor,-16.19,42.41,7.96,12.66,3.35,4.84,1.30,,
CWC0003,University of Windsor,-16.80,47.57,8.35,14.19,3.35,not measured,not measured,,
CWC0004,University of Windsor,-16.41,41.40,8.90,12.43,3.33,not measured,not measured,,
CWC0005,University of Windsor,-17.26,32.20,7.81,10.83,2.97,not measured,not measured,,
CWC0006,University of Windsor,-15.66,43.07,7.30,14.56,2.96,not measured,not measured,,
CWC0007,University of Windsor,-17.10,45.01,9.09,12.99,3.47,6.01,1.32,,
CWC0008,University of Windsor,-16.36,45.90,7.31,15.48,2.96,not measured,not measured,,
CWC0009,University of Windsor,-16.74,45.38,6.86,15.44,2.94,not measured,not measured,,
CWC0010,University of Windsor,-16.77,42.79,7.17,13.93,3.07,not measured,not measured,,
CWC0011,University of Windsor,-16.18,42.80,7.36,14.49,2.95,not measured,not measured,,
CWC0012,University of Windsor,-18.16,43.15,7.25,14.47,2.98,not measured,not measured,,
CWC0015,University of Windsor,-23.46,2.74,7.36,0.33,8.27,not measured,not measured,,
CWC0017,University of Windsor,-16.57,43.87,8.74,13.07,3.36,6.81,1.30,,
CWC0018,University of Windsor,-17.37,44.65,4.74,14.07,3.17,2.14,1.16,,
CWC0019,University of Windsor,-19.91,44.24,5.39,13.20,3.35,not measured,not measured,,
CWC0020,University of Windsor,-16.73,25.91,7.62,8.61,3.01,3.76,0.80,,
CWC0022,University of Windsor,-16.91,43.80,5.33,13.96,3.14,1.61,1.18,,
CWC0023,University of Windsor,-17.54,44.89,4.62,12.05,3.72,0.49,0.90,,
CWC0024,University of Windsor,-16.90,44.74,4.76,14.50,3.08,1.44,1.06,,
CWC0025,University of Windsor,-24.24,2.67,6.74,0.34,7.84,not measured,not measured,,
CWC0027,University of Windsor,-20.02,43.84,5.20,13.43,3.26,not measured,not measured,,
CWC0028,University of Windsor,-19.25,42.69,5.97,12.78,3.34,not measured,not measured,,
CWC0031,University of Windsor,-18.03,43.14,5.02,12.49,3.46,0.87,1.04,,
CWC0032,University of Windsor,-17.20,44.64,5.03,14.45,3.09,1.95,1.22,,
CWC0033,University of Windsor,-24.38,2.43,5.33,0.32,7.49,not measured,not measured,,
CWC0035,University of Windsor,-13.35,31.21,4.47,8.56,3.65,not measured,not measured,,
CWC0037,University of Windsor,-13.39,30.25,5.18,8.40,3.60,not measured,not measured,,
CWC0038,University of Windsor,-23.26,44.81,6.93,13.72,3.27,13.12,0.87,,
CWC0039,University of Windsor,-16.81,47.87,8.51,14.71,3.25,not measured,not measured,,
CWC0040,University of Windsor,-22.68,45.91,8.51,12.67,3.62,13.56,0.84,,
CWC0041,University of Windsor,-15.03,20.02,6.59,7.67,2.61,3.20,1.39,,
CWC0042,University of Windsor,-22.64,45.53,8.72,13.52,3.37,13.96,1.05,,
CWC0043,University of Windsor,-15.85,20.35,7.28,6.48,3.14,5.67,1.11,,
CWC0046,University of Windsor,-22.95,45.92,8.38,13.99,3.28,13.73,0.94,,
CWC0047,University of Windsor,-15.79,43.98,8.24,13.94,3.15,2.55,1.30,,
CWC0048,University of Windsor,-22.87,43.41,7.86,12.91,3.36,13.62,1.07,,
CWC0049,University of Windsor,-16.82,40.86,7.02,13.10,3.12,1.33,1.25,,
CWC0050,University of Windsor,-21.22,44.71,6.96,11.63,3.85,not measured,not measured,,
CWC0051,University of Windsor,-17.83,39.85,6.89,10.50,3.80,7.63,0.73,,
CWC0052,University of Windsor,-18.60,52.35,9.09,13.95,3.75,not measured,not measured,,
CWC0053,University of Windsor,-17.78,45.34,6.97,14.76,3.07,5.20,1.32,,
CWC0054,University of Windsor,-18.09,44.78,8.64,13.78,3.25,3.90,1.31,,
CWC0055,University of Windsor,-17.93,46.17,9.20,14.28,3.23,3.57,1.28,,
CWC0056,University of Windsor,-17.48,44.97,8.25,14.81,3.04,2.36,1.37,,
CWC0057,University of Windsor,-17.58,46.02,8.71,15.18,3.03,2.79,1.45,,
CWC0058,University of Windsor,-18.06,46.61,10.53,14.81,3.15,3.34,1.27,,
CWC0060,University of Windsor,-15.91,45.54,7.11,15.04,3.01,4.89,1.40,,
CWC0061,University of Windsor,-16.80,37.95,4.79,10.90,3.48,7.06,0.76,,
CWC0064,University of Windsor,-17.98,45.36,6.12,14.74,3.08,2.16,1.13,,
CWC0065,University of Windsor,-16.58,33.78,4.99,9.81,3.44,8.14,0.67,,
CWC0066,University of Windsor,-19.98,50.57,10.40,14.62,3.38,8.81,1.32,,
CWC0067,University of Windsor,-20.45,46.73,10.89,13.93,3.35,9.37,1.26,,
CWC0068,University of Windsor,-15.94,33.50,3.84,9.36,3.58,7.46,0.60,,
CWC0069,University of Windsor,-13.10,27.06,6.12,6.35,4.26,5.61,0.33,,
CWC0071,University of Windsor,-12.97,34.29,7.19,9.08,3.78,10.63,0.78,,
CWC0072,University of Windsor,-13.47,35.55,6.76,9.86,3.63,11.70,0.83,,
CWC0083,University of Windsor,-17.02,43.66,6.66,14.24,3.07,5.43,1.42,,
CWC0084,University of Windsor,-17.01,48.66,7.09,15.24,3.19,5.36,1.38,,
CWC0085,University of Windsor,-21.63,52.23,10.84,16.66,3.14,9.35,1.86,,
CWC0086,University of Windsor,-17.75,44.89,10.60,14.71,3.05,8.87,1.81,,
