CWC ID Number,Other ID Number,Collection Date,Site,Latitude,Longitude ,Habitat/Location (measurements in meters indicate distance from marsh edge),Gear,Node Group,Node Code,Common Name,Scientific Name,n,Total Length (mm),Fork Length (mm),Carapace width (mm),Weight (grams),Sex,Tissue Collected,Collection Notes
CWC0001,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,100,na,na,na,M,muscle and stomach,
CWC0002,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,100,na,na,na,M,muscle and stomach,
CWC0003,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,95,na,na,na,F,muscle and stomach,
CWC0004,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,110,na,na,na,M,muscle and stomach,
CWC0005,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,10,<30,na,na,na,na,muscle,
CWC0006,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,77,na,na,na,na,muscle,
CWC0007,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,121,na,na,na,na,muscle and stomach,
CWC0008,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,87,na,na,na,na,muscle,
CWC0009,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,87,na,na,na,na,muscle,
CWC0010,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,76,na,na,na,na,muscle,
CWC0011,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,80,na,na,na,na,muscle,
CWC0012,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,2,"66, 60",na,na,na,na,muscle,
CWC0013,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200mL
CWC0014,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200mL
CWC0015,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200mL
CWC0016,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200mL
CWC0017,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Gulf killifish,Fundulus grandis,1,95,na,na,na,F,muscle and stomach,
CWC0018,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,47,na,na,na,F,muscle,w/ embryos
CWC0019,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,8,na,na,na,na,na,muscle,
CWC0020,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,65,na,na,na,F,muscle,w/ embryos
CWC0021,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,69,na,na,na,F,muscle,vial is empty
CWC0022,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,59,na,na,na,F,muscle,w/ embryos
CWC0023,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,na,na,na,na,na,muscle,embryos of #24
CWC0024,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,58*,na,na,na,F,muscle,"*estimated length, kept embryos in vial"
CWC0025,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,
CWC0026,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,
CWC0027,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,8,na,na,na,na,na,muscle,
CWC0028,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,6,na,na,na,na,na,muscle,
CWC0029,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,6,na,na,na,na,na,muscle,"oval snails, tiny"
CWC0030,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,6,na,na,na,na,na,muscle,"oval snails, tiny"
CWC0031,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,na,na,na,na,na,muscle,embryos of #32
CWC0032,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,na,na,na,na,na,muscle,
CWC0033,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,225 mL
CWC0034,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,225 mL
CWC0035,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0036,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, detritivorous",Detr. snail,Olive nerite,Neritina usnea,12,na,na,na,na,na,muscle,
CWC0037,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,10,na,na,na,na,na,muscle,
CWC0038,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Ribbed mussel,Geukensia demissa,6,*,na,na,na,na,muscle,*variety of sizes
CWC0039,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,na,na,na,na,na,muscle,
CWC0040,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1,na,na,na,na,na,muscle,
CWC0041,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,39,na,na,na,na,muscle,
CWC0042,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,2,na,na,na,na,na,muscle,
CWC0043,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,37,na,na,na,na,muscle,
CWC0044,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200 mL
CWC0045,na,May 2015,PS5,29.449130°,-89.749237°,edge,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,200 mL
CWC0046,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1,na,na,na,na,na,muscle,
CWC0047,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,38,na,na,na,na,muscle,
CWC0048,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Bivalve, suspension-feeding",Bivalves,Eastern oyster,Crassostrea virginica,1,na,na,na,na,na,muscle,
CWC0049,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, omnivorous",Marsh omn. fish,Diamond killifish,Fundulus xenicus,1,37,na,na,na,na,muscle,
CWC0050,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,2,na,na,<30,na,na,muscle,
CWC0051,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,2,na,na,<30,na,na,muscle,
CWC0052,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,76,na,na,na,na,muscle,
CWC0053,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,132,na,na,na,na,muscle,
CWC0054,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,66,na,na,na,na,muscle,
CWC0055,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,75,na,na,na,na,muscle,
CWC0056,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,70,na,na,na,na,muscle,
CWC0057,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,76,na,na,na,na,muscle,
CWC0058,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,55,na,na,na,na,muscle,
CWC0059,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,67,na,na,na,na,muscle,
CWC0060,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,218,na,na,na,na,muscle,
CWC0061,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,5,na,na,na,na,na,muscle,*some samples may incude U. rapax
CWC0062,na,May 2015,PS5,29.449130°,-89.749237°,pond,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,175 mL
CWC0063,na,May 2015,PS5,29.449130°,-89.749237°,pond,Plankton Net,Phytoplankton,Phyto,Phytoplankton,na,na,na,na,na,na,na,whole body,"175 mL, not enough for CS SIA"
CWC0064,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,58,na,na,na,na,muscle,
CWC0065,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,5,na,na,na,na,na,muscle,
CWC0066,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,161,na,na,na,na,muscle,
CWC0067,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,161,na,na,na,na,muscle,
CWC0068,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,5,na,na,na,na,na,muscle,
CWC0069,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Snails, detritivorous",Detr. snail,Olive nerite,Neritina usnea,na,na,na,na,na,na,muscle,
CWC0070,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Snails, detritivorous",Detr. snail,Coffee bean snail,Melampus coffeus,na,na,na,na,na,na,whole body,"vacuum sealed, found no vial"
CWC0071,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Crabs, marsh",Marsh crabs,Marsh crab,Armases sp.,2,na,na,na,na,na,muscle,
CWC0072,na,May 2015,PS5,29.449130°,-89.749237°,edge,Hand,"Crabs, marsh",Marsh crabs,Marsh crab,Armases sp.,2,na,na,na,na,na,muscle,
CWC0073,na,May 2015,PS5,29.449130°,-89.749237°,pond,Hand,"Crabs, fiddler",Fidl. crabs,Fiddler crab,Uca longisignalis,na,na,na,na,na,na,whole body,vacuum sealed
CWC0074,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, grass",Grass shrimp,Grass shrimp,Palaemonetes pugio,na,na,na,na,na,na,whole body,vacuum sealed
CWC0075,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0076,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,UNKNOWN,UNK,Miscellaneous (vac bag),na,na,na,na,na,na,na,whole body,vacuum sealed
CWC0077,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Sailfin molly,Poecilia latipinna,1,na,na,na,na,na,whole body,vacuum sealed
CWC0078,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0079,na,May 2015,PS5,29.449130°,-89.749237°,creek,Seine,"Fish, benthivorous",Benth. fish,Spot,Leiostomus xanthurus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0080,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,na,na,na,na,na,na,whole body,vacuum sealed
CWC0081,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,na,na,na,na,na,na,whole body,vacuum sealed
CWC0082,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Snails, omnivorous",Omn. snail,Marsh periwinkle,Littoraria irrorata,na,na,na,na,na,na,whole body,
CWC0083,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,200,na,na,na,na,muscle,
CWC0084,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, marsh, detritivorous",Marsh detr. fish,Striped mullet,Mugil cephalus,1,202,na,na,na,na,muscle,
CWC0085,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,358,na,na,na,na,muscle and stomach,
CWC0086,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, benthivorous",Benth. fish,Hardhead catfish,Arius felis,1,306,na,na,na,na,muscle and stomach,
CWC0087,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, carnivorous",Carn. fish,Red drum,Sciaenops ocellatus,1,382,na,na,na,na,muscle and stomach,
CWC0088,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, carnivorous",Carn. fish,Red drum,Sciaenops ocellatus,1,395,na,na,na,na,muscle and stomach,
CWC0089,na,May 2015,PS5,29.449130°,-89.749237°,creek,Gill net,"Fish, invertivorous",Invert. fish,Sheepshead,Archosargus probatocephalus,1,412,na,na,na,na,muscle and stomach,
CWC0090,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,20,na,na,muscle,
CWC0091,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,na,na,na,muscle,
CWC0092,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,na,na,na,muscle,
CWC0093,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Crabs, blue",Blue crabs,Blue crab,Callinectes sapidus,1,na,na,na,na,na,muscle,
CWC0094,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,91,na,na,na,na,muscle,
CWC0095,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,85,na,na,na,na,muscle,
CWC0096,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,86,na,na,na,na,muscle,
CWC0097,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,99,na,na,na,na,muscle,
CWC0098,na,May 2015,PS5,29.449130°,-89.749237°,edge,Seine,"Shrimp, penaeid",Penaeid shrimp,Brown/Paneid shrimp,Penaeus,1,97,na,na,na,na,muscle,
CWC0099,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, marsh, herbivorous",Marsh herb. fish,Sheepshead minnow,Cyprinodon variegatus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0100,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, marsh, carnivorous",Marsh carn. fish,Bayou killifish,Fundulus pulvereus,1,na,na,na,na,na,whole body,vacuum sealed
CWC0101,na,May 2015,PS5,29.449130°,-89.749237°,pond,Seine,"Fish, pelagic, omnivorous",Pelg. omn. fish,Mosquito fish,Gambusia affinis,1,na,na,na,na,na,whole body,vacuum sealed
