stanza,K,wmat_winf
red drum,0.46,0.09
blue crab,0.7,0.09
brown shrimp,1.5,0.09
croaker,0.35,0.09
white shrimp,1.5,0.09
sharks,0.14,0.09
black drum,0.17,0.09
sstrout,0.13,0.09
sand seatrout,0.13,0.09
LMB,0.375,0.09
sturgeon,0.06,0.09
blue catfish,0.15,0.09
sea catfish,0.15,0.09
grey snapper,0.18,0.09
sheepshead,0.36,0.09
flounder,0.23,0.09
spot,0.43,0.09
pinfish,0.3,0.09
silver perch,1.26,0.09
mullet,0.34,0.09
threadfin shad,0.39,0.09
gizzard shad,0.39,0.09
sunfish,0.3,0.09
anchovy,0.6,0.09
oysters,1.2,0.09
